Expression	Value	Location	Type	
ibuf	<array>" 1030000023130GO\r"	0x20005A28	uint8_t[22]	
termo_val	335	0x200000B4	int16_t	
Temp	0.0	0x20005CF8	float	
profile	<array>	0x200000BC	int16_t[10320]	
[0]	64	0x200000BC	int16_t	
[1]	48	0x200000BE	int16_t	
[2]	48	0x200000C0	int16_t	
[3]	64	0x200000C2	int16_t	
[4]	64	0x200000C4	int16_t	
[5]	64	0x200000C6	int16_t	
[6]	64	0x200000C8	int16_t	
[7]	64	0x200000CA	int16_t	
[8]	64	0x200000CC	int16_t	
[9]	64	0x200000CE	int16_t	
[10]	64	0x200000D0	int16_t	
[11]	64	0x200000D2	int16_t	
[12]	64	0x200000D4	int16_t	
[13]	64	0x200000D6	int16_t	
[14]	64	0x200000D8	int16_t	
[15]	64	0x200000DA	int16_t	
[16]	64	0x200000DC	int16_t	
[17]	48	0x200000DE	int16_t	
[18]	64	0x200000E0	int16_t	
[19]	64	0x200000E2	int16_t	
[20]	64	0x200000E4	int16_t	
[21]	64	0x200000E6	int16_t	
[22]	64	0x200000E8	int16_t	
[23]	64	0x200000EA	int16_t	
[24]	64	0x200000EC	int16_t	
[25]	64	0x200000EE	int16_t	
[26]	48	0x200000F0	int16_t	
[27]	64	0x200000F2	int16_t	
[28]	64	0x200000F4	int16_t	
[29]	80	0x200000F6	int16_t	
[30]	80	0x200000F8	int16_t	
[31]	64	0x200000FA	int16_t	
[32]	64	0x200000FC	int16_t	
[33]	64	0x200000FE	int16_t	
[34]	64	0x20000100	int16_t	
[35]	64	0x20000102	int16_t	
[36]	64	0x20000104	int16_t	
[37]	48	0x20000106	int16_t	
[38]	64	0x20000108	int16_t	
[39]	64	0x2000010A	int16_t	
[40]	64	0x2000010C	int16_t	
[41]	64	0x2000010E	int16_t	
[42]	64	0x20000110	int16_t	
[43]	64	0x20000112	int16_t	
[44]	64	0x20000114	int16_t	
[45]	64	0x20000116	int16_t	
[46]	64	0x20000118	int16_t	
[47]	64	0x2000011A	int16_t	
[48]	64	0x2000011C	int16_t	
[49]	64	0x2000011E	int16_t	
[50]	64	0x20000120	int16_t	
[51]	64	0x20000122	int16_t	
[52]	64	0x20000124	int16_t	
[53]	64	0x20000126	int16_t	
[54]	80	0x20000128	int16_t	
[55]	64	0x2000012A	int16_t	
[56]	64	0x2000012C	int16_t	
[57]	64	0x2000012E	int16_t	
[58]	64	0x20000130	int16_t	
[59]	64	0x20000132	int16_t	
[60]	64	0x20000134	int16_t	
[61]	64	0x20000136	int16_t	
[62]	64	0x20000138	int16_t	
[63]	64	0x2000013A	int16_t	
